Additional_info,Alternative_name,Catalog,Description,Formal_name,Name,Url
,,18634,The Stabilizor T1 Instrument is for heat stabilization of biological samples. It includes complete software and pre-defined methods with a 12 month warranty.One unit dimension: 465 (l) x 306 (w) x 143 (h) mmNetweight: 6.7 kgPower requirement: 110/220VHeat effect power: 400WSample type: Tissues and fluidsSoftware: Four pre-defined sample treatment modes,,"Stabilizor, T1 Instrument",https://www.caymanchem.com/product/18634
,,18641,"Validated protocol for heat stabilization of tissue samples, homogenization and extraction of proteins prior to 2D-GE analysis. The Stabilizor 2D-GE Extraction Kit (Tissue) includes Maintainor® Tissue Cards (Item No. ) (12), buffer dry component (1), buffer diluent (1), buffer DTT component (3), tubes (36), pestles (36), and a user manual (1). Contains material for heat stabilizing 12 tissue samples and preparation of 36 samples for 2D-GE.12 x Maintainor® Tissue Cards (Item No. ) 1 x Protein Extraction Buffer - Dry component (26 g) 1 x Protein Extraction Buffer - Diluent (25 ml) 3 x Protein Extraction Buffer - DTT Components (23 mg) 36 x Pestles for homogenization 36 x Tubes for homogenization Stabilization and extraction protocol ",,"Stabilizor, 2D-GE Extraction Kit (Tissue)",https://www.caymanchem.com/product/18641
,,18635,"The Stabilizor  T1 Start Kit includes a user manual (1), quick guide (1), power cord (1) and additional accessories needle device (1), torx key (1), and 2GB USB-stick (1).",,"Stabilizor,  T1 Start Kit",https://www.caymanchem.com/product/18635
,,18638,"The Maintainor Liquid Card includes cards (12) for heat stabilization, transportation, and storage of liquid samples. The cards are designed for single use only.Material: Hydrophobic, low binding Teflon® foilsSample: 25 µl-1.5 ml liquid sample Operating temperature:  -80°C to 120°C",,"Maintainor, Liquid Card",https://www.caymanchem.com/product/18638
,,23593,"STING R224 variant (human recombinant) contains amino acids 138-379 of the wild-type variant (R232) with lysine 224 substituted with arginine. Stimulator of interferon genes (STING) is a component of the innate immune response that binds to cyclic dinucleotides, which are bacterial second messengers, leading to activation of NF-κB and transcription of immunomodulatory genes, including type I interferon (IFN). The R232 variant of STING is the most common variant in the human population, found at a frequency of 57.9% in the 1000 Genome Project. The SNP variant H232 is found at a 13.7% frequency. The K224R mutation prevents ubiquitination of STING at position K224, a process which is essential for efficient cytosolic DNA-mediated signaling. Therefore, this mutation disrupts optimal STING trafficking, which inhibits TBK1-mediated IRF3 activation but not NF-κB activation.",,STING R224 variant (human recombinant),https://www.caymanchem.com/product/23593
,,22815,"Stimulator of interferon genes (STING) is a component of the innate immune response that binds to cyclic dinucleotides, which are bacterial second messengers, leading to activation of NF-κB and transcription of immunomodulatory genes, including type I interferon (IFN). The H232 variant of STING is found at a 13.7% frequency in the 1000 Genome Project. The SNP variant R232 (Item No. ) is the most common variant in the human population, found at a frequency of 57.9%. Various mutations in STING either reduce or increase its activity. Gain-of-function mutations in STING, including R284M (Item No. 23594) and V155M, lead to constitutive activation and enhancement of the type I IFN response. The V155M mutation is associated with a systemic inflammatory condition, including pulmonary fibrosis and autoimmune factors. Mutations that reduce STING activity include K224R (Item No. ), which reduces ubiquitination of STING thereby disrupting its localization within the cell, and the double mutation G230A, R293Q (Item No. 23592), which reduces the IFN response. A T596A mutation present in the mouse strain Goldenticket leads to a complete loss of STING protein and lack of a type I IFN response to infection by Listeria.",,STING H232 variant (human recombinant),https://www.caymanchem.com/product/22815
,,23594,"STING M284 variant (human recombinant) contains amino acids 138-379 of the wild-type variant (R232) with a methionine substituted for arginine at position 284. Stimulator of interferon genes (STING) is a component of the innate immune response that binds to cyclic dinucleotides, which are bacterial second messengers, leading to activation of NF-κB and transcription of immunomodulatory genes, including type I interferon (IFN). The R232 variant of STING is the most common variant in the human population, found at a frequency of 57.9% in the 1000 Genome Project. The SNP variant H232 is found at a 13.7% frequency. The R284M mutation in STING is associated with constitutive activation of downstream signaling. It increases the propensity of STING to dimerize and associate with the kinase TBK1, enhancing the ability of STING to activate IRF3 and NF-κB and induce a type I IFN response. However, the R284M mutation occurs outside of the dimerization region between positions 153-177, so rather than a direct effect on dimerization, it is predicted to promote or inhibit binding of a cellular factor that stabilizes or impairs STING dimerization.",,STING M284 variant (human recombinant),https://www.caymanchem.com/product/23594
,,25306,"STING A162 variant (human recombinant) contains amino acids 138-379 of the wild-type variant (R232) with an alanine substituted for serine at position 162. Stimulator of interferon genes (STING) is a component of the innate immune response that binds to cyclic dinucleotides, which are bacterial second messengers, leading to activation of NF-κB and transcription of immunomodulatory genes, including type I interferon (IFN). The R232 variant of STING is the most common variant in the human population, found at a frequency of 57.9% in the 1000 Genome Project. The SNP variant H232 is found at a 13.7% frequency. The S162A point mutation is located in the cyclic dinucleotide binding site of the human STING variants R232 and H232 and allows human STING to bind to DMXAA, a compound previously known to bind mouse, but not human, STING. When STING S162A is bound to DMXAA, it adopts the closed conformation, similar to the conformation it has when bound to the second messenger 2’3’-cGAMP (Item No. ), and activates the IFN pathway similarly to mouse STING.",,STING A162 variant (human recombinant),https://www.caymanchem.com/product/25306
,,23592,"STING AQ variant (human recombinant) contains amino acids 138-379 of the wild-type STING variant (R232) with an alanine substituted for glycine at position 230 and a glutamine substituted for arginine at position 293. Stimulator of interferon genes (STING) is a component of the innate immune response that binds to cyclic dinucleotides, which are bacterial second messengers. Recognition of cyclic-di-GMP (c-di-GMP), c-di-AMP, or c-GMP-AMP leads to activation of NF-κB and transcription of immunomodulatory genes, including type I interferons (IFN). The R232 variant of STING is the most common variant in the human population, found at a frequency of 57.9% in the 1000 Genome Project. The SNP variant H232 is found at a 13.7% frequency. The G230A, R293Q double mutation occurs in 5.2% of the human population and when expressed in HEK293T cells, this mutation reduces the IFN response to bacterial ligands by 30-40% compared to wild-type STING. Whereas the R293Q substitution alone is severely defective in response to bacterial cyclic dinucleotides, the G230A substitution is thought to help maintain some ability of this variant to respond to bacterial cyclic dinucleotides. Based on crystal structure of STING, the G230A mutation alters the conformation of the lid region that clamps onto the c-di-GMP, however, the R293 residue does not directly bind to c-di-GMP. The R293Q mutation may instead disrupt STING activity indirectly by altering the function of a nearby cysteine residue required for IFN-β expression.",,STING AQ variant (human recombinant),https://www.caymanchem.com/product/23592
,,15139,"STING H232 variant; SUMO-tagged contains amino acids 155-341 of the H232 variant and a removable N-terminal SUMOpro tag. Stimulator of interferon genes (STING) is a component of the innate immune response that binds to cyclic dinucleotides, which are bacterial second messengers, leading to activation of NF-κB and transcription of immunomodulatory genes, including type I interferon (IFN). The H232 variant of STING is found at a 13.7% frequency in the 1000 Genome Project. The SNP variant R232 (Item No. ) is the most common variant in the human population, found at a frequency of 57.9%. Small ubiquitin-like modifier (SUMO) proteins modify proteins post-translationally, leading to a variety of functional effects. In unstimulated cells , sumoylation stabilizes STING, inhibits its degradation, and facilitates oligomerization, leading to increased recruitment and activation of IRF3. In the early phase of herpes simplex virus type 1 (HSV-1) infection , dimerized STING is sumoylated by Trim38 and then desumoylated by Senp2 and degraded during the late phase of infection.",,STING H232 variant; SUMO-tagged (human recombinant),https://www.caymanchem.com/product/15139
