Pro_name,Product_name,Product_no,Product_url
EarlyTox Cardiotoxicity Kit,Explorer Kit,#R8210,https://www.moleculardevices.com/products/assay-kits/cardiotox/earlytox-cardiotoxicity-kit
EarlyTox Cardiotoxicity Kit,Bulk Kit,#R8211,https://www.moleculardevices.com/products/assay-kits/cardiotox/earlytox-cardiotoxicity-kit
CatchPoint cGMP Fluorescent Assay Kit,Explorer Kit (96-Wells),#R8074,https://www.moleculardevices.com/products/assay-kits/gpcrs/catchpoint-cgmp-fluorescent-assay-kit
CatchPoint cGMP Fluorescent Assay Kit,Bulk Kit (96-Wells),#R8075,https://www.moleculardevices.com/products/assay-kits/gpcrs/catchpoint-cgmp-fluorescent-assay-kit
CatchPoint cGMP Fluorescent Assay Kit,Explorer Kit (384-Wells),#R8065,https://www.moleculardevices.com/products/assay-kits/gpcrs/catchpoint-cgmp-fluorescent-assay-kit
,,,https://www.moleculardevices.com/products/biologics/onestep-spr
,,,https://www.moleculardevices.com/products/microplate-readers/washers
,,,https://www.moleculardevices.com/products/biologics/octet-systems-software
EarlyTox Cell Integrity Kit,Explorer Kit,#R8213,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-integrity-kit
EarlyTox Cell Integrity Kit,Bulk Kit,#R8214,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-integrity-kit
EarlyTox Cell Integrity Kit,EarlyTox Live Green Dye,#R8215,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-integrity-kit
EarlyTox Cell Integrity Kit,EarlyTox Dead Green Dye,#R8216,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-integrity-kit
EarlyTox Cell Integrity Kit,EarlyTox Live Dye,#R8217,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-integrity-kit
SpectraMax Quant dsDNA Assay Kits,Explorer Kit,#R8356,https://www.moleculardevices.com/products/assay-kits/dna-quantitation/spectramax-quant-dsdna
SpectraMax Quant dsDNA Assay Kits,Bulk Kit,#R8357,https://www.moleculardevices.com/products/assay-kits/dna-quantitation/spectramax-quant-dsdna
SpectraMax Quant dsDNA Assay Kits,Explorer Kit,#R8358,https://www.moleculardevices.com/products/assay-kits/dna-quantitation/spectramax-quant-dsdna
SpectraMax Quant dsDNA Assay Kits,Bulk Kit,#R8359,https://www.moleculardevices.com/products/assay-kits/dna-quantitation/spectramax-quant-dsdna
SpectraMax Quant dsDNA Assay Kits,Explorer Kit,#R8354,https://www.moleculardevices.com/products/assay-kits/dna-quantitation/spectramax-quant-dsdna
SpectraMax Quant dsDNA Assay Kits,Bulk Kit,#R8355,https://www.moleculardevices.com/products/assay-kits/dna-quantitation/spectramax-quant-dsdna
SpectraMax MiniMax 300 Imaging Cytometer,"<p class=""rteleft""><strong>Product</strong></p>",<div>5029422</div>,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/spectramax-minimax-300-imaging-cytometer
SpectraMax MiniMax 300 Imaging Cytometer,"<div class=""rteleft"">SpectraMax MiniMax 300 Imaging Cytometer</div>",<div>5024296</div>,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/spectramax-minimax-300-imaging-cytometer
SpectraMax MiniMax 300 Imaging Cytometer,"<div class=""rteleft"">SpectraMax MiniMax 300 Desktop Computer</div>",<div>i3x</div>,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/spectramax-minimax-300-imaging-cytometer
ScanLater Western Blot Assay Kit,Evaluation Kit,#R8200,https://www.moleculardevices.com/products/assay-kits/western-blot/scanlater-western-blot
Deep-well Plates,"2000 μl, Square well, P/N S1205",#S1205,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/deep-well-plates
ScanLater Western Blot Assay Kit,Bulk Kit,#R8203,https://www.moleculardevices.com/products/assay-kits/western-blot/scanlater-western-blot
ScanLater Western Blot Assay Kit,Evaluation Kit,#R8201,https://www.moleculardevices.com/products/assay-kits/western-blot/scanlater-western-blot
ScanLater Western Blot Assay Kit,Bulk Kit,#R8205,https://www.moleculardevices.com/products/assay-kits/western-blot/scanlater-western-blot
ScanLater Western Blot Assay Kit,Evaluation Kit,#R8202,https://www.moleculardevices.com/products/assay-kits/western-blot/scanlater-western-blot
ScanLater Western Blot Assay Kit,Bulk Kit,#R8204,https://www.moleculardevices.com/products/assay-kits/western-blot/scanlater-western-blot
ScanLater Western Blot Assay Kit,Evaluation Kit,#R8224,https://www.moleculardevices.com/products/assay-kits/western-blot/scanlater-western-blot
ScanLater Western Blot Assay Kit,Bulk Kit,#R8227,https://www.moleculardevices.com/products/assay-kits/western-blot/scanlater-western-blot
ScanLater Western Blot Assay Kit,Evaluation Kit,#R8225,https://www.moleculardevices.com/products/assay-kits/western-blot/scanlater-western-blot
ScanLater Western Blot Assay Kit,Bulk Kit,#R8228,https://www.moleculardevices.com/products/assay-kits/western-blot/scanlater-western-blot
ScanLater Western Blot Assay Kit,Protein Ladder,#R8220,https://www.moleculardevices.com/products/assay-kits/western-blot/scanlater-western-blot
Deep-well Plates,"400 μl, Round bottom, P/N S1207",#S1207,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/deep-well-plates
Deep-well Plates,24-Deep Well Plates,#X7060,https://www.moleculardevices.com/products/microplate-readers/accessories-consumables/deep-well-plates
Cap Mats and Lids,Sterile QLids,#X5101,https://www.moleculardevices.com/products/clone-screening/accessories-consumables/cap-mats-and-lids
,,,https://www.moleculardevices.com/products/biologics/clone-screening
FLIPR Potassium Assay Kit,Explorer Kit,#R8222,https://www.moleculardevices.com/products/assay-kits/ion-channel/flipr-potassium
FLIPR Potassium Assay Kit,Bulk Kit,#R8223,https://www.moleculardevices.com/products/assay-kits/ion-channel/flipr-potassium
FLIPR Potassium Assay Kit,Evaluation Kit,#R8330,https://www.moleculardevices.com/products/assay-kits/ion-channel/flipr-potassium
Fura-2 QBT Calcium Kit,Evaluation Kit,#R6139,https://www.moleculardevices.com/products/assay-kits/gpcrs/fura-2-qbt-calcium-kit
Fura-2 QBT Calcium Kit,Explorer Kit,#R8197,https://www.moleculardevices.com/products/assay-kits/gpcrs/fura-2-qbt-calcium-kit
Fura-2 QBT Calcium Kit,Bulk Kit,#R8198,https://www.moleculardevices.com/products/assay-kits/gpcrs/fura-2-qbt-calcium-kit
EarlyTox Cell Viability Assay Kits,Explorer Kit,#R8340,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-viability-assay-kits
EarlyTox Cell Viability Assay Kits,Bulk Kit,#R8341,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-viability-assay-kits
EarlyTox Cell Viability Assay Kits,Explorer Kit,#R8342,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-viability-assay-kits
EarlyTox Cell Viability Assay Kits,Bulk Kit,#R8343,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-viability-assay-kits
EarlyTox Cell Viability Assay Kits,Explorer Kit,#R8344,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-viability-assay-kits
EarlyTox Cell Viability Assay Kits,Bulk Kit,#R8345,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-viability-assay-kits
EarlyTox Cell Viability Assay Kits,Explorer Kit,#R8346,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-viability-assay-kits
EarlyTox Cell Viability Assay Kits,Explorer Kit,#R8348,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-viability-assay-kits
EarlyTox Cell Viability Assay Kits,Explorer Kit,#R8350,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-viability-assay-kits
EarlyTox Cell Viability Assay Kits,Bulk Kit,#R8351,https://www.moleculardevices.com/products/assay-kits/cell-viability/earlytox-cell-viability-assay-kits
FLIPR Membrane Potential Assay Kits,Explorer Kit RED,#R8126,https://www.moleculardevices.com/products/assay-kits/ion-channel/flipr-membrane-potential
FLIPR Membrane Potential Assay Kits,Bulk Kit RED,#R8123,https://www.moleculardevices.com/products/assay-kits/ion-channel/flipr-membrane-potential
FLIPR Membrane Potential Assay Kits,Explorer Kit BLUE,#R8042,https://www.moleculardevices.com/products/assay-kits/ion-channel/flipr-membrane-potential
FLIPR Membrane Potential Assay Kits,Bulk Kit BLUE,#R8034,https://www.moleculardevices.com/products/assay-kits/ion-channel/flipr-membrane-potential
,,,https://www.moleculardevices.com/products/biologics/label-free-bli-detection
SpectraMax Glo Steady-Luc Reporter Assay Kit,Explorer Kit,#R8352,https://www.moleculardevices.com/products/assay-kits/reporter-gene-assays/spectramax-glo-steady-luciferase-reporter
SpectraMax Glo Steady-Luc Reporter Assay Kit,Bulk Kit,#R8353,https://www.moleculardevices.com/products/assay-kits/reporter-gene-assays/spectramax-glo-steady-luciferase-reporter
,,,https://www.moleculardevices.com/products/microplate-readers/stacker/stakmax-microplate-handling-system
,,,https://www.moleculardevices.com/products/biologics/accessories-consumables/biosensors-kits
,,,https://www.moleculardevices.com/products/microplate-readers/validation-and-compliance
QBT Fatty Acid Uptake Assay Kit,Evaluation Kit,#R6132,https://www.moleculardevices.com/products/assay-kits/transporters/qbt-fatty-acid-uptake
QBT Fatty Acid Uptake Assay Kit,Explorer Kit,#R8132,https://www.moleculardevices.com/products/assay-kits/transporters/qbt-fatty-acid-uptake
QBT Fatty Acid Uptake Assay Kit,Bulk Kit,#R8133,https://www.moleculardevices.com/products/assay-kits/transporters/qbt-fatty-acid-uptake
QPix Pins and Heads,"Protein Microarrays, P/N X4242",#X4242,https://www.moleculardevices.com/products/clone-screening/accessories-consumables/qpix-pins-and-heads
