Product_categ,Product_descr,Product_imgsrc,Product_model,Product_name,Product_url
Laser Scanning Microscopes,"Available with either galvanometer-only (FV3000) or hybrid galvanometer/resonant (FV3000RS) scanner configurations...
			",https://static1.olympus-lifescience.com/modules/imageresizer/aaa/029/6e918fde96/650x279p325x140.jpg,FV3000,Confocal Laser Scanning Microscope,https://www.olympus-lifescience.com/en/laser-scanning/fv3000/
Objectives,"Provides full compensation for both spherical and chromatic aberrations from the Visible to the near-infrared region.
            ",https://static1.olympus-lifescience.com/data/Image/Products/product_icon_uplsapo.jpg?rev=637D,UPLSAPO,Super Apochromat objectives,https://www.olympus-lifescience.com/en/objectives/uplsapo/
Objectives,"Acquires sharp, clear images, without color shift in fluorescence, brightfield and Nomarski DIC observations.
            ",https://static5.olympus-lifescience.com/data/Image/Products/product_icon_plapon.jpg?rev=A5F3,PLAPON,Apochromat objectives,https://www.olympus-lifescience.com/en/objectives/plapon/
Objectives,"Offers an unbeatable solution for every kind of digital imaging need with quality and performance - including high-resolution observations deep inside living tissue with silicone immersion objectives.
            ",https://static3.olympus-lifescience.com/data/Image/Products/product-icon_uplfln_plfln(2).jpg?rev=1CCF,UPLFLN/PLFLN,High grade objectives,https://www.olympus-lifescience.com/en/objectives/uplfln/
Objectives,"Displays flat images from high transmission factors up to the near-infrared region of the spectrum.
            ",https://static2.olympus-lifescience.com/data/Image/Products/product-icon_umplfln_lumplfln_w_lumfln.jpg?rev=A63A,UMPLFLN/LUMPLFLN-W/LUMFLN,High grade objectives,https://www.olympus-lifescience.com/en/objectives/lumplfln-w/
Objectives,"Acquires sharp, clear images, without color shift, in fluorescence, brightfield and Nomarski DIC observations.
            ",https://static2.olympus-lifescience.com/data/Image/Products/product-icon_xlumofln_w.jpg?rev=2040,XLUMPLFLN-W,High grade objectives,https://www.olympus-lifescience.com/en/objectives/xlumplfln-w/
Objectives,"Offers an unbeatable solution for every kind of digital imaging need for quality and performance.
            ",https://static5.olympus-lifescience.com/data/Image/Products/product-icon_uplfln_p.jpg?rev=C9C4,UPLFLN-P,High grade objectives,https://www.olympus-lifescience.com/en/objectives/uplfln-p/
Objectives,"Displays flat images from high transmission factors up to the near-infrared region of the spectrum.
            ",https://static1.olympus-lifescience.com/modules/imageresizer/7f0/4c5/aefcaa7b2c/650x279p325x140.jpg,UCPLFLN/LUCPLFLN,High grade objectives,https://www.olympus-lifescience.com/en/objectives/ucplfln/
Objectives,"Acquires sharp, clear images, without color shift, in fluorescence, brightfield and Nomarski DIC observations.
            ",https://static3.olympus-lifescience.com/data/Image/Products/product-icon_pln.jpg?rev=4A10,PLN,Standard Objectives,https://www.olympus-lifescience.com/en/objectives/pln/
Objectives,"Offers an unbeatable solution for every kind of digital imaging need for quality and performance.
            ",https://static3.olympus-lifescience.com/data/Image/Products/product-icon_pln_cy_plfln_cy.jpg?rev=9F9E,PLN-CY/PLFLN-CY,Standard Objectives,https://www.olympus-lifescience.com/en/objectives/pln-cy/
Objectives,"Provides long working distance, water immersion objectives with excellent DIC and fluorescence.
            ",https://static4.olympus-lifescience.com/data/Image/Products/product-icon_pln_p_achn_p.jpg?rev=C63A,PLN-P/ACHN-P,Standard Objectives,https://www.olympus-lifescience.com/en/objectives/pln-p/
Objectives,"Displays flat images from high transmission factors up to the near-infrared region of the spectrum.
            ",https://static1.olympus-lifescience.com/modules/imageresizer/807/3a8/78fdd7b9d5/650x279p325x140.jpg,UPLSAPO-PH,Super Apochromat objectives for phase-contrast,https://www.olympus-lifescience.com/en/objectives/uplsapo-ph/
Objectives,"Ideal for fluorescence imaging of brain tissue, as well as other tissue and specimens.
            ",https://static1.olympus-lifescience.com/data/Image/Products/product-icon_plapon_ph.jpg?rev=BCC7,PLAPON-PH,Apochromat objectives for phase-contrast,https://www.olympus-lifescience.com/en/objectives/plappon-ph/
Objectives,"Provides high NA, long working distance objectives with excellent DIC and fluorescence observation.
            ",https://static5.olympus-lifescience.com/modules/imageresizer/a0d/09a/37a1f4749d/650x279p325x140.jpg,UPLFLN-PH,High grade objectives for phase-contrast,https://www.olympus-lifescience.com/en/objectives/uplfln-ph/
Objectives,"Displays flat images from high transmission factors up to the near-infrared region of the spectrum.
            ",https://static2.olympus-lifescience.com/modules/imageresizer/5e1/e95/b8c02bbeaf/650x279p325x140.jpg,UCPLFLN-PH/CPLFLN-PH/LUCPLFLN-PH,High grade objectives for phase-contrast,https://www.olympus-lifescience.com/en/objectives/ucplfln-ph/
Objectives,"Allows the measurement of cell membrane electric potentialand designed to provide easy access to patch clamp electrodes.
            ",https://static4.olympus-lifescience.com/modules/imageresizer/9d6/1f0/107cacebf0/650x279p325x140.jpg,CPLFLN-RC/LUCPLFLN-RC,High grade objectives for Relief Contrast,https://www.olympus-lifescience.com/en/objectives/cplfln-rc/
Objectives,"Displays flat images from high transmission factors up to the near-infrared region of the spectrum.
            ",https://static4.olympus-lifescience.com/modules/imageresizer/a71/e59/4230492195/650x279p325x140.jpg,PLN-PH,Standard Objectives for phase-contrast,https://www.olympus-lifescience.com/en/objectives/pln-ph/
Objectives,"Reduces internal strain to an absolute minimum.
            ",https://static2.olympus-lifescience.com/modules/imageresizer/27c/b51/3c698f5030/650x279p325x140.jpg,CPLN-PH/LCACHN-PH,Standard Objectives for phase-contrast,https://www.olympus-lifescience.com/en/objectives/cpln-ph/
Objectives,"Best suited for polarizing, Nomarski DIC, brightfield and fluorescence microscopy.
            ",https://static4.olympus-lifescience.com/modules/imageresizer/b4e/4fd/78389def6d/650x279p325x140.jpg,CPLN-RC/LCACHN-RC,Standard Objectives for Relief Contrast,https://www.olympus-lifescience.com/en/objectives/cpln-rc/
Objectives,"Provides long working distance, universal objectives with excellent contrast and resolution in brightfield, DIC and fluorescence observations.
            ",https://static3.olympus-lifescience.com/modules/imageresizer/a3c/ed8/4a7f626033/650x279p325x140.jpg,UPLFLN-IPC/CACHN-IPC/LCACHN-IPC,Standard Objectives for phase-contrast,https://www.olympus-lifescience.com/en/objectives/uplfln-ipc/
Objectives,"Displays flat images from high transmission factors up to the near-infrared region of the spectrum.
            ",https://static1.olympus-lifescience.com/modules/imageresizer/614/d09/81032d2c43/650x279p325x140.jpg,UPLFLN-PHP/CACHN-PHP/LCACHN-PHP,Standard Objectives for phase-contrast,https://www.olympus-lifescience.com/en/objectives/uplfln-php/
Objectives,"Dedicated to tissue culture observations through bottles and dishes.
            ",https://static5.olympus-lifescience.com/modules/imageresizer/d23/1e8/3b692db2a3/650x279p325x140.jpg,UAPON340,Specific Objectives,https://www.olympus-lifescience.com/en/objectives/uapon340/
