Product_item_no,Product_mfr_no,Product_name,Product_packsize,Product_price,Product_url,Product_value,Product_wght
7047590,0.07,Filter Units; Cellulose Nitrate Membrane; sterile; Type 121; Volume upper/lower part 115/115 ml; Membrane diam. 50 mm; Pore size 0.45 µm; Thread 45 GL; Grid black,ea,"€ 5,88",https://www.reagecon.com/cell-culture/filtration/filter-units-cellulose-nitrate-membrane-sterile-7047590?returnurl=%2fcell-culture%2ffiltration%2f,121-0045,0.07
RC120014,0.48,Reagecon Validation Kit for Total Organic (TOC) suitable for use with Sievers 900/M9 Analysers,13x40ml,"€ 501,84",https://www.reagecon.com/toc/tic/validationsets/reagecon-validation-kit-for-total-organic-toc-rc120014?returnurl=%2ftoc%2ftic%2fvalidationsets%2f,Mixed Set,0.48
70125050-1L,1.16,Reagecon pH 7.01 Antimony Colour Coded Buffer Solution at 25°C,1L,"€ 27,71",https://www.reagecon.com/ph_25%c2%b0c_antimony/reagecon-ph-7-01-antimony-colour-coded-buffer-70125050--1l?returnurl=%2fph_25%25c2%25b0c_antimony%2f,pH 7.01 ± 0.05,1.16
CP1100,0.15,Reagecon pH 10.00 Coloured Coded Buffer Capsules at 25°C,50 Capsules,"€ 92,15",https://www.reagecon.com/ph_capsules/reagecon-ph-10-00-coloured-coded-buffer-capsules-cp1100?returnurl=%2fph_capsules%2f,pH 10.00 ± 0.02,0.15
6255819,0.36,LLG Laboratory Power Failure Detector,ea,"€ 40,29",https://www.reagecon.com/refrigerators-freezers/llg-laboratory-power-failure-detector-6255819?returnurl=%2frefrigerators-freezers%2f,6255819,0.36
9033288,0.30,Storage Box PE-HD with Tightly Closing PE-LD Lid 3.20 Litre,ea,"€ 6,24",https://www.reagecon.com/vessels/transport-boxes/storage-box-pe-hd-with-tightly-closing-pe-ld-lid-3-9033288?returnurl=%2fvessels%2ftransport-boxes%2f,910700,0.30
H203571,1.16,Reagecon Hydrochloric Acid 0.357M (0.357N) Analytical Volumetric Solution (AVL),1L,"€ 22,99",https://www.reagecon.com/avl_conc_hydrochloricacid/reagecon-hydrochloric-acid-0-357m-0-357n-h203571?returnurl=%2favl_conc_hydrochloricacid%2f,0.357M (0.357N),1.16
EDTA1625,5.05,Reagecon EDTA 1.62% w/v Analytical Volumetric Solution (AVL),5L,"€ 116,03",https://www.reagecon.com/avl_edta/reagecon-edta-1-62-w-v-analytical-volumetric-edta1625?returnurl=%2favl_edta%2f,1.62% w/v,5.05
REICPCAL20A,0.12,"Reagecon ICP, ICP-MS Multi Element Standard (20 Elements) in 2% Nitric Acid (HNO₃) and trace Tartaric Acid (C₄H₆O₆)",100ml,"€ 406,74",https://www.reagecon.com/icpmulticalibration/reagecon-icp-icp-ms-multi-element-standard-20-reicpcal20a?returnurl=%2ficpmulticalibration%2f,10 µg/ml of each Element,0.12
DEN80160PY,0.32,Reagecon Density Standards Premium Range 1.0302 g/ml at 80°C,100ml,"€ 175,72",https://www.reagecon.com/density_premium80%c2%b0c/reagecon-density-standards-premium-range-1-0302-g-den80160py?returnurl=%2fdensity_premium80%25c2%25b0c%2f,1.0302 g/ml at 80°C,0.32
DEN80150PY,0.32,Reagecon Density Standards Premium Range 0.9815 g/ml at 80°C,100ml,"€ 175,72",https://www.reagecon.com/density_premium80%c2%b0c/reagecon-density-standards-premium-range-0-9815-g-den80150py?returnurl=%2fdensity_premium80%25c2%25b0c%2f,0.9815 g/ml at 80°C,0.32
494518-2L,494518-2L,Ethyl Acetate  Biosyn ≥99.8%,2L,"€ 126,18",https://www.reagecon.com/biosynthesis/low_water_solvents/ethyl-acetate-biosyn-99-8-494518--2l?returnurl=%2fbiosynthesis%2flow_water_solvents%2f,≥99.8%,1
9160843,1.89,LLG Histology Cassettes Pink with Detachable Lid,500pk,"€ 22,61",https://www.reagecon.com/embedding-cassettes/llg-histology-cassettes-pink-with-detachable-lid-9160843?returnurl=%2fembedding-cassettes%2f,9160843,1.89
496219-100ML,496219-100ML,NN-Diisopropylethylamine Biosyn 99.5%,100ml,"€ 72,92",https://www.reagecon.com/biosynthesis/low_water_solvents/nn-diisopropylethylamine-biosyn-99-5-496219--100ml?returnurl=%2fbiosynthesis%2flow_water_solvents%2f,"0,995",0.23
6227618,0.02,Graduated pipettes; AR-glas® tissue culture; amber graduations; Volume 1 ml; Graduations 0.1 ml; Tolerance 0.020 ± ml,ea,"€ 6,49",https://www.reagecon.com/pipettes-graduated/graduated-pipettes-ar-glas-tissue-culture-amber-6227618?returnurl=%2fpipettes-graduated%2f,27160,0.02
6203402,0.59,Pipettes; Pasteur; PE; Type Standard; Capacity 10.0 ml; Length 300 mm; Sterile -; Graduations -,100pk,"€ 24,70",https://www.reagecon.com/pipettes-graduated/pipettes-pasteur-pe-type-standard-capacity-10-0-ml-6203402?returnurl=%2fpipettes-graduated%2f,26 00 195,0.59
6202714,0.02,Graduated pipettes; Soda-lime glass; class AS; amber stain graduation; type 2; Volume 10 ml; Grad. 0.1 ml; Tolerance 0.05 ± ml; Overall  length 360 ± 5 mm,ea,"€ 4,65",https://www.reagecon.com/pipettes-graduated/graduated-pipettes-soda-lime-glass-class-as-amber-6202714?returnurl=%2fpipettes-graduated%2f,1100360,0.02
6205201,0.13,Graduated pipettes with piston; Soda-lime glass; amber stain graduation; Volume 20 ml; Grad. 0.1 ml; Top diam. 1.3 mm; Overall length 430 mm,ea,"€ 19,26",https://www.reagecon.com/pipettes-graduated/graduated-pipettes-with-piston-soda-lime-glass-6205201?returnurl=%2fpipettes-graduated%2f,1190165,0.13
6202713,0.02,Graduated pipettes; Soda-lime glass; class AS; amber stain graduation; type 2; Volume 5 ml; Grad. 0.1 ml; Tolerance 0.03 ± ml; Overall  length 360 ± 5 mm,ea,"€ 4,60",https://www.reagecon.com/pipettes-graduated/graduated-pipettes-soda-lime-glass-class-as-amber-6202713?returnurl=%2fpipettes-graduated%2f,1100354,0.02
6202868,0.03,Graduated pipettes; Soda-lime glass; class AS; amber stain graduation; type 3; Volume 2 ml; Grad. 0.1 ml; Tolerance 0.01 ± ml; Overall  length 360 ± 5 mm,ea,"€ 4,27",https://www.reagecon.com/pipettes-graduated/graduated-pipettes-soda-lime-glass-class-as-amber-6202868?returnurl=%2fpipettes-graduated%2f,1100142,0.03
4006093,0.19,Extraction thimbles; cellulose; Int. diam. 33 mm; Length 80 mm,25pk,"€ 66,38",https://www.reagecon.com/environmental/sample-analysis/extraction-thimbles-cellulose-int-diam-33-mm-4006093?returnurl=%2fenvironmental%2fsample-analysis%2f,90033080,0.19
6200639,0.34,Haematocrit capillary tubes; Type Plain; Colour blue,1000pk,"€ 14,72",https://www.reagecon.com/pipettes-graduated/haematocrit-capillary-tubes-type-plain-colour-blue-6200639?returnurl=%2fpipettes-graduated%2f,9100175,0.34
ISTOC1316,Kg,Reagecon USP Reagent Water Rw Total Organic Carbon (TOC) Standard for Beckman QbD1200 Analyser,40ml,"€ 54,75",https://www.reagecon.com/toc-tic/beckmanqbd1200/reagecon-usp-reagent-water-rw-total-organic-carbon-istoc1316?returnurl=%2ftoc-tic%2fbeckmanqbd1200%2f,0.06,0.06
6200448,0.03,Graduated pipettes; Soda-lime glass; class AS; amber stain graduation; type 3; Volume 20 ml; Grad. 0.1 ml; Tolerance 0.1 ± ml; Overall  length 360 ± 5 mm,ea,"€ 5,49",https://www.reagecon.com/pipettes-graduated/graduated-pipettes-soda-lime-glass-class-as-amber-6200448?returnurl=%2fpipettes-graduated%2f,1100165,0.03
ISTOC1314,0.06,Reagecon 0.5 mg/l C from USP Sucrose Rs Total Organic Carbon (TOC) Standard for Beckman QbD1200 Analyser,40ml,"€ 54,75",https://www.reagecon.com/toc-tic/beckmanqbd1200/reagecon-0-5-mg-l-c-from-usp-sucrose-rs-total-istoc1314?returnurl=%2ftoc-tic%2fbeckmanqbd1200%2f,0.5 mg/l,0.06
ISTOC1315,0.06,"Reagecon 0.5 mg/l C from USP 1,4- Benzoquinone Total Organic Carbon (TOC) Standard for Beckman QbD1200 Analyser",40ml,"€ 54,75",https://www.reagecon.com/toc-tic/beckmanqbd1200/reagecon-0-5-mg-l-c-from-usp-1-4-benzoquinone-istoc1315?returnurl=%2ftoc-tic%2fbeckmanqbd1200%2f,0.5 mg/l,0.06
AABIH,0.62,Reagecon Bismuth Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in 0.5M Nitric Acid (HNO₃),500ml,"€ 61,64",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-bismuth-standard-for-atomic-absorption-aabih?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
AABEM,0.62,"Reagecon Beryllium Standard for Atomic Absorption (AAS) 10,000 µg/ml (10,000 ppm) in 1M Hydrochloric Acid (HCl)",500ml,"€ 271,31",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-beryllium-standard-for-atomic-absorption-aabem?returnurl=%2fphysicalchemical%2fanion_cation%2f,"10,000 µg/ml (10,000 ppm)",0.62
AABEH,0.62,Reagecon Beryllium Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in 1M Hydrochloric Acid (HCl),500ml,"€ 177,31",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-beryllium-standard-for-atomic-absorption-aabeh?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
AABAH,0.62,Reagecon Barium Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in 0.5M Nitric Acid (HNO₃),500ml,"€ 63,77",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-barium-standard-for-atomic-absorption-aas-aabah?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
AAB-H,0.62,Reagecon Boron Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in Water (H₂O),500ml,"€ 30,92",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-boron-standard-for-atomic-absorption-aas-aab--h?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
AABAM,0.62,"Reagecon Barium Standard for Atomic Absorption (AAS) 10,000 µg/ml (10,000 ppm) in 1M Nitric Acid (HNO₃)",500ml,"€ 83,95",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-barium-standard-for-atomic-absorption-aas-aabam?returnurl=%2fphysicalchemical%2fanion_cation%2f,"10,000 µg/ml (10,000 ppm)",0.62
AAAUM,500ml,"Reagecon Gold Standard for Atomic Absorption (AAS) 10,000 µg/ml (10,000 ppm) in 2M Hydrochloric Acid (HCI)",500ml,"€ 2.100,00",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-gold-standard-for-atomic-absorption-aas-aaaum?returnurl=%2fphysicalchemical%2fanion_cation%2f,"10,000 µg/ml (10,000 ppm)",0.62
AAAUH,0.62,Reagecon Gold Standard for Atomic Absorption (AAS) 1000 µg/ml (1000 ppm) in 2M Hydrochloric Acid (HCl),500ml,"€ 453,00",https://www.reagecon.com/physicalchemical/anion_cation/reagecon-gold-standard-for-atomic-absorption-aas-aaauh?returnurl=%2fphysicalchemical%2fanion_cation%2f,1000 µg/ml (1000 ppm),0.62
